Mango (major brands)
Tommy Hilfigure kids  (Punjab Crockery)
Cafe coffee day (Amalgamated bean coffee trading company)
Levi's (Levis strauss india pvt ltd)
claires (DLF Brand Ltd)
Zimson(Zimson Times Pvt. LTd.) 
Inglot (major brands)
imagine store (Ample technologies)
Shoppers Stop (Shoppers stop Ltd)
Forever 21(Diana Retail Pvt. Ltd)
Westside (trent ltd)
Call it spring (major brands)
Promod (major brands)
Tommy Hilfigure (tommy hilfigure arvind fashions ltd)
Aldo Accessories  (major brands)
The Body Shop (Quest Retail Pvt. Ltd) 
Sun Glass Hut (DLF Brand Ltd)
Colourbar (ColorBar Cosmetics Pvt. Ltd)
Bulchee/covo ( Atlas brands pvt.ltd)
Gelato (Pan India food solutions pvt.ltd.)
Cookie Man (Australian Foods India Private Limited)
Hsbc Atm (Banking tracnactions not allowed)
citibank atm  (Banking tracnactions not allowed)
Wetzel pretzel (Apis india pvt ltd)
Tibbs Frankie
Cafe Express (Amalgamated bean coffee trading company)
Allen Solly - Men (Madura garments)
Van Heusen (Madura garments)
Louis Phillip (Madura garments)
Arrow (Arvind Lifestyle Brands Ltd.)
"US Polo(Arvind Lifestyle Brands Ltd.)
Izod (Arvind Lifestyle Brands Ltd.)
Swarovski (Emerald Inc). 
Accessorize (Planet Retail)
Hidesign (Hidesign India Private Limited)
Lp Premium (Madura garments)
Titan (Titan Company Limited)
Lee (Sri Sai Fashions)
Nike (R.J. Corp)
Jumbo electronics (Jumbo electronics pvt ltd)
Rayban (ANZ Enterprises)
Archies (Archies Limited)
William Penn (William Penn)
Baggit (BAGGIT INDIA PRIVATE LIMITED)
Sand (S.K Enterprises)
Candy treat (Venus Confectionary)
Casio Kiosk (Zimson Times)
Mahen (Mahendra Marketing)
Puma Sports (Puma Sports India Private Limited)
adidas (Adidas India Marketing Pvt Ltd/Sridevi Associates India Pvt. Ltd.)
reebok (Reebok India Company /Suncorp Lifestyle Ltd)
Kukaz Salon 
Fab India (Fabindia Overseas Private Limited)
Sia (Sia Lifestyle Pvt. Ltd.)
Pure Living (SOLANGE RETAIL PRIVATE LIMITED)
Soch(Md Retail)
Flying Machine(Arvind Brands)
Chemistry (esjay internationl)
Enamor(Gokaldas )
Global Desi(And designs india pvt ltd)
Allen Solly - Women (Madura garments)
Mustard Clothing (Miustard clothing company pvt ltd )
Jashn (Msh sarees)
Samsonite (Bagzone Lifestyle Private Limited)
Mint (Mint ltd)
Spice Hotspot (Spice Retail Private Limited)
Health & Glow (RPG Guardian Pvt. Ltd.) 
Wills life style (ITC Limited)
Costa Coffee (Devyani Internationals Limited)
Planet M (Planet M Retails Limited)
109f (creative lifestyles)
Forever  New (Forever new apparels pvt.ltd)
Mothercare (Rhea Retail Private Limited)
devs jewellery (india trading)
Just Watches (PRIORITY MARKETING PVT LTD)
Little Nathella (Nathella Jewelry)
Soles( Global Design )
Kalmane koffees (Kalmane Trading P. Ltd.)
See & Take (Sangani Novelty & Handicraft) 
Rays
Jonak Associates
Demoza (Adhira exports pvt ltd)
Sumukha Enterprises (Weighing Machine)
Tangerine Toes  (Flipz fashion)
Ayesha (Hidesign India Private Limited)
Chamki (Bliss boutique pvt ltd)
Holii (Hidesign India Private Limited)
Vip (V.I.P. Industries Limited )
Prachin Arts & Crafts
Amoeba (H.M. Leisure )
pit stop food court(jsm holdings)
KOBE (Mayfair Entertainment)
7d theater (family fun center)
Trust Pharmacy (Chemists and druggists ltd)
Krispy Kreme (Citymax hotels india pvt ltd)
Timex (ANZ enterprises)
Temporary tattoo
Presto (Lukose creations)
Fine jewels
KFC (Yum Resturants) 
Pind Bulluchi (JS Hospitality) 
Scary House (Crazy concepts and mazes pvt ltd)
Dashing cars  (family fun center)
Inox
Headfone zone 
Tabacco Nist (D.A. Sons (ITDC))
Capdase 
Weighing Machine 
Amoeba Bowling (h M Leisure)
Panchavati (Flavours of india)
Jimis Terrace (Aditya Entertainment)
o2 spa
